HITID,Text,Answer1,Answer2,Agreement,Answer,Date,JasonCode
3VO4XFFP15MRUF4U843IXBEM3YQ7QI,USIsraeli Man Charged in Connection with Threats to Jewish Community Centers  Conveying False Info  Cyberstalking httpstcouXrOLCKnU5,Performative Reputation,Performative Reputation,Yes,Performative Reputation,2018-07-06 17:59:47 UTC,1
33KGGVH24UHXSQQ452H1Q9J2XFCX17,RT WhiteHouse In the past few weeks  President Trump has fought to secure one of his key promises to the American people negotiating fre,Performative Reputation,Performative Reputation,Yes,Performative Reputation,2018-07-06 18:00:24 UTC,0
3N5YJ55YXG3OAKP0ZFNL38L7ZV9ANP,RT fema Storm surge can be one of the most dangerous and damaging parts of a hurricane  bringing flooding and battering waves to the coas,None of the above.,Technical Reputation,No,no_agreement,2018-07-06 17:59:34 UTC,2
36818Z1KV3DH6GWQHW36UUN1UEIA39,RT USGS Energy-efficient alloys of beryllium help to create miniature electronics parts httpstcoVsiDccm6Wr CriticalMinerals https,Procedural Repuation,Technical Reputation,No,no_agreement,2018-07-06 18:02:23 UTC,4
3P458N04Q1H4HB80O6HFVST7PLR2XU,RT statedeptspox At WEF18  USAIDMarkGreen and private-sector partners announced the launch of Smart Communities Coalition to address te,None of the above.,Technical Reputation,No,no_agreement,2018-07-06 18:01:16 UTC,4
3QD8LUVX4XYWG8RN6PJDTZWJ9VHX5P,Tune into Deputy Secretary Sarah Bloom Raskins conversation w nationaljournal on cybersecurity live now! httpstcoKmWYfXx4si,None of the above.,None of the above.,Yes,None of the above.,2018-07-06 18:01:11 UTC,4
3KLL7H3EGD1GSC6N7CJ4UB2OYT1HVO,RT SenateCommerce TODAY AT 10AM SenateCommerce to hold a hearing to examine InfrastructureInAmerica with testimony from SecElaineChao,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:01:01 UTC,0
3A9LA2FRWSE8W1BI7RKMIWZ9E48XH6,Read Secretary Nielsens statement following her swearing-in httpstcowvQWDnCsp3,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:00:23 UTC,0
3ZUE82NE0A1Y34J44TKUZC637GNF8J,USDAs Office of Tribal Relations salutes 6 Virginia tribes on new federal recognition The Chickahominy  Eastern C httpstcoH3gibeFw37,Moral Reputation,Performative Reputation,No,no_agreement,2018-07-06 18:11:27 UTC,2
33NKDW9FFXIHFT02LZ6L752T1C3XCX,RT CBPArizona USBP Casa Grande agents patrolling the border rescue Honduran gunshot victim southwest of Sells BORSTAR AlwaysVigilant h,Performative Reputation,Performative Reputation,Yes,Performative Reputation,2018-07-06 17:59:49 UTC,1
304QEQWKZPKARSRU8SQ5TR9ZGJ20O3,QA Aviation Security Enhancements for Select Last Point of Departure Airports w Commercial Flights to the US  httpstcoiSdirAqaC4,None of the above.,Technical Reputation,No,no_agreement,2018-07-06 18:04:16 UTC,4
3L7SUC0TTUUMRP6IVCBS1NKULJN0MO,RT USUN Ambassador Nikki Haley This sham proposal is just the latest example of the lengths Maduro will go to destroy Venezuelas demo,None of the above.,Procedural Repuation,No,no_agreement,2018-07-06 18:03:02 UTC,0
3VCK0Q0PO5ES97RI7DQSE29UQ9X0NO,North Carolina Man Convicted of Attempting and Conspiring to Provide Material Support to ISIS httpstcousC1OKXADd,None of the above.,None of the above.,Yes,None of the above.,2018-07-06 18:00:39 UTC,1
3NSCTNUR2ZNKKVJUVFRZ9RLL8A9A5Z,Joint Press Statement Following the EU-US Justice and HomeAffairs Ministerial httpstcoRP1K6cYCo2 httpstcogjzWbgeG2Y,None of the above.,None of the above.,Yes,None of the above.,2018-07-06 18:03:00 UTC,0
34D9ZRXCYRULQXH57B4722VDMUHAS1,"AK Couple Charged w Failure to Pay Over $400 000 of 13 Yrs in Income Taxes Earned from Commercial Fishing Business httpstcoi1ZD0w5tIs",None of the above.,Technical Reputation,No,no_agreement,2018-07-06 18:01:53 UTC,1
3UV0D2KX1MJXK3W2SQUHI0QY5URF4C,RT uspto DYK Patents like these keep us warm in the winter ForestProductsWeek httpstcoEFYh2UYRpW,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 18:00:43 UTC,2
3CVBMEMMXBGEHM5RPEGOOXMLCBU7HM,RT FAANews Want to become one of the 34 000 drone pilots in the US? Join us at the UAS2017 Symposium Mar 27-29 New agenda httpst,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 18:02:29 UTC,0
3UEDKCTP9VQ5JC6ZVZJL1P2D4SY7KQ,RT ACFHHS Do you work with young people? Learn ways schools and communities can help prevent trafficking! LIVE 10am httpstcokgv6Cu,Moral Reputation,Procedural Repuation,No,no_agreement,2018-07-06 18:01:10 UTC,2
34R0BODSP1ZNA806BKTL5ABCTP75EP,This year  we heard from students experiencing homelessness on how to better support their needs httpstcoKjvCQOaYy2,Moral Reputation,Moral Reputation,Yes,Moral Reputation,2018-07-06 18:01:07 UTC,2
3S8APUMBJXJH52HB7544QEW4FM8FBI,Denver OCEDETF Strike Force Takes Down Mexican Drug Trafficking Org That Distributed Cocaine  Methamphetamine httpstcoBPbfYXdbS4,Moral Reputation,Technical Reputation,No,no_agreement,2018-07-06 18:04:11 UTC,1
3NI0WFPPI9GK2MLQ8W4BCRN8VJ806E,RT hsrcinfo HSRC to lead 1 of 5 natl transportation ctrs wfocus on road safety AmazingUTCs USDOT DCRPcarolina UNC IPRC httpstco,None of the above.,Procedural Repuation,No,no_agreement,2018-07-06 18:01:37 UTC,1
33K3E8REWWVF3QAP4NQG5J6ABLIX8R,DYK? AF Academy offers cadets a regimen of military training  academics  athletic and character development progra httpstcoyJe5puYt4Z,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 18:05:21 UTC,2
3G9UA71JVVUA8S0HDEJ90A20P3Y7JR,RT SNAP Ed Too cold or icy to go out? Indoor physicalactivity ideas to the rescue! httpstcoRIxXPwSPwK httpstcoH0y7eP7HUi,None of the above.,None of the above.,Yes,None of the above.,2018-07-06 18:09:02 UTC,2
3VMHWJRYHVGOI5KCC1WMFBNWYPVXF8,Veteran gained valuable career experience while serving in Air Force httpstcoxGLmaBwGH8 via newstribune,Performative Reputation,Procedural Repuation,No,no_agreement,2018-07-06 18:05:16 UTC,2
3I01FDIL6M8QJ53JX6G31LQF93FD23,"Standing on the top!   A USNavy sailor teaches another how to get into a working position at the top of a utility httpstcorj2l1De2oH",None of the above.,Technical Reputation,No,no_agreement,2018-07-06 18:01:21 UTC,2
36KM3FWE3RC36MZVR693I5N4QUS07D,SecElaineChao Were fortunate POTUS is a builder who understands challenges facing our countrys infrastructure infrastructureweek,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:03:10 UTC,0
3S1L4CQSFX5CMSCJ1R48V3CYX4NAFI,Sec Johnson POTUS directed comprehensive review of whole situation after election impt to wait for whole report SecuringTomorrow,Procedural Repuation,Procedural Repuation,Yes,Procedural Repuation,2018-07-06 18:02:16 UTC,0
3L1EFR8WWT5YH92E9LQ8Z81ERM5F98,RT USEmbassySeoul Welcome USTreasury Sec Lew to Korea! He is here to discuss economic  financial cooperation bw our two countries ht,Performative Reputation,Performative Reputation,Yes,Performative Reputation,2018-07-06 18:08:46 UTC,3
32XN26MTXZJ2L7OXV0AD1A55LEX0LM,RT NIH News Higher brain glucose levels may mean more severe Alzheimers httpstcoIWonYzdaxs NIH NIHnews,Moral Reputation,Technical Reputation,No,no_agreement,2018-07-06 18:03:22 UTC,4
3TX9T2ZCB91FYM6M38U7GKP71SJWZ2,CommerceGov announces preliminary countervailing duty determinations for fine denier polyester staple fiber httpstcofX55VNRTaB,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 18:04:45 UTC,1
3JTPR5MTZSCQW8SG764O35OHDM3K5O,RT AHRQNews AHRQ is celebrating Patient Safety Awareness Week March 12 - 18 Follow us for patient safety news and activities UnitedFor,Moral Reputation,Procedural Repuation,No,no_agreement,2018-07-06 18:01:46 UTC,2
37SDSEDIN927DPPWXU59AA2966481B,RT usbr The People of Reclamation Meet Reclamations Lower Colorado Region Dive Team! httpstcoYT5o40Vjq6 reclamation water work,None of the above.,Technical Reputation,No,no_agreement,2018-07-06 18:04:52 UTC,2
3EFNPKWBMSOL53Y8PU6D5OBOLS630B,Ex-Im plays a critical role in demonstrating to our trading partners that US exporters can compete in foreign mkts httpstcoAWcfk8OP4g,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 18:01:19 UTC,1
38VTL6WC4ADLGDHXBL5FCD3SB1C5Y4,Past VApodcast guest Kato delaCruz breaks down how TeamRubicon and its volunteer base of Veterans made an impact httpstcoXTFTYsup1x,Performative Reputation,Technical Reputation,No,no_agreement,2018-07-06 18:19:01 UTC,2
3PR3LXCWSFZFHVTZ9FWU5F1LVR0X9G,DOJ Expresses Concerns on Regulation that Would Prohibit Real Estate Agents from Offering Gift Cards to Home Buyers httpstcofB4TpTargA,Performative Reputation,Technical Reputation,No,no_agreement,2018-07-06 18:00:50 UTC,2
3YD0MU1NC21Z7ZXDJ86W7BZHZG4A7E,USCIS this morning welcomes newuscitizens at the USNatArchives in honor of ConstitutionDay httpstco02y9kibER1,Moral Reputation,Moral Reputation,Yes,Moral Reputation,2018-07-06 18:08:46 UTC,2
39O0SQZVJN7R6GJULJSI21ORZKS7RJ,RT SecretarySonny Projected US farm exports for fiscal year 2018 look pretty solid $140 billion expected  would be 4th-best year on r,Performative Reputation,Performative Reputation,Yes,Performative Reputation,2018-07-06 18:04:05 UTC,1
3NFWQRSHVEEDWJPMNRWIRPN1VZ0FGZ,RT uscensusbureau DYK of female veterans served during wartime? Learn more about women vets in this AmericaCounts article httpst,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:01:24 UTC,2
31ANT7FQN82ZUIR81L1RQD8PL5Z5H5,RT TeamNutrition Looking to vary the protein foods on your childcare menu? Try this easy baked cod httpstcouZrTQ0qJt8 httpstco,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 18:02:05 UTC,2
31YWE12TE0CB3C56UIYARJAF01CX74,RT JohnKingatED We cant build walls high enough to separate the fate of our children from children down the block  down the road  or str,Moral Reputation,Performative Reputation,No,no_agreement,2018-07-06 18:06:06 UTC,2
36JW4WBR06KRWFKX7XE0CPZ2AZDFHY,Fat Pets Are a Growing Problem- httpstcoGsnWI9xHtv,None of the above.,Procedural Repuation,No,no_agreement,2018-07-06 18:11:59 UTC,0
3YLPJ8OXX8DEKPNNSK03O7Q59ZMX4K,Dreaming of summer adventures YellowstoneNPS! Grand Canyon of the Yellowstone by Abby Howe httpstcoyfmvzKA2nP,None of the above.,Procedural Repuation,No,no_agreement,2018-07-06 18:02:35 UTC,0
3XUSYT70IT1JNV05IJCPIXX0C5VD0J,Need a new challenge? A reason to get moving? Check out the all new PALA+ on SuperTracker  sign up today! httpstcoRsFMCU5noV,Performative Reputation,Procedural Repuation,No,no_agreement,2018-07-06 18:07:29 UTC,1
3IZPORCT1F9OZ5P6YSEUTEDLDNOHRV,RT doescience Apply by January 12 for the 2018 Summer Term Visiting Faculty Program Program httpstcovsE0DpR0ZR AASCU chronicle HA,None of the above.,Procedural Repuation,No,no_agreement,2018-07-06 18:19:29 UTC,2
3GVPRXWRPHUEDHGBVWY9O9N0CO97IF,Whos a good boy?A USAirForce airman rewards Nido  a Belgian Malinois  after training in SouthwestAsia httpstcor67hQ6sMnT,Moral Reputation,Technical Reputation,No,no_agreement,2018-07-06 18:08:55 UTC,2
3D1UCPY6GG93NS3BKYJSY3H64QI38Y,Treasury  NSCPress  StateDept highlight termination of Liberia national emergency underpinning EO 13348  removal of related sanctions,Moral Reputation,Technical Reputation,No,no_agreement,2018-07-06 18:02:16 UTC,4
308KJXFUJR6M5XUKWB9XC7RZODVATQ,RT BetsyDeVosED Inspiring to hear from these young women about their STEM education Theyre ready to lead! WomensHistoryMonth https,Moral Reputation,Performative Reputation,No,no_agreement,2018-07-06 18:22:41 UTC,2
3B286OTISEHSRUYFKHVTA14QQB4AJL,RT SandiaLabs Reducing the traffic jam in EnergyStorage   Sandia researchers make solid ground toward better lithium-ion battery interf,Procedural Repuation,Technical Reputation,No,no_agreement,2018-07-06 18:06:23 UTC,1
3538U0YQ1FUC27DYSCPY8VYSRUV3FF,GOES-S Satellite Launch Set for March 1 at 430 pm EDT Five Reasons Why it Will be a Game Changer for Weather Fo httpstcohRXUHYiYre,None of the above.,Technical Reputation,No,no_agreement,2018-07-06 18:07:46 UTC,4
3DQYSJDTYLBWCRKGHQCGXT2WMOGXEQ,Alleged ISIS Supporter Indicted for Attempting to Provide Material Support to Foreign Terrorist Organization httpstcogXvl5fq6Ck,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 18:26:57 UTC,1
37M4O367VJILMWSJSIH4IIGL2RY5ME,RT USNavy Fleet Mail Center Sigonella delivers holiday joy - httpstcoAT6ucNKVAl httpstconi8Kb6ZgGS,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:02:01 UTC,2
3E6L1VR4XWMBZQ0GBENWFYAC1LXF6X,Today  TravelGov Special Advisor Lawrence presented the FY 2017 Annual Report on Intercountry Adoption  outlining httpstco91P3LtaesR,None of the above.,Procedural Repuation,No,no_agreement,2018-07-06 18:01:44 UTC,1
36818Z1KV3DH6GWQHW36UUN1UEI3A2,Floridas Bay County Vets Center provides more than counseling httpstco7TLLsqFV2w via WJHG TV,Moral Reputation,Procedural Repuation,No,no_agreement,2018-07-06 18:01:50 UTC,2
3D17ECOUOEVLCSJQLDADJTUYQKC31E,RT HUDPacific HUD administers lead hazard grants nationwide To ID field reps in your region  click the map here httpstco1tQEWoAMW8,Performative Reputation,Procedural Repuation,No,no_agreement,2018-07-06 18:08:22 UTC,1
3CVDZS288H0DOTL8YUUD4U7YRLCFM7,RT statedeptspox So pleased to see this deal -- creating jobs at home and expanding economic opportunities overseas! A great example of t,Performative Reputation,Technical Reputation,No,no_agreement,2018-07-06 18:05:57 UTC,1
3QD8LUVX4XYWG8RN6PJDTZWJ9VI5XY,RT GoParks OTD in 1967  GoParks was established to serve as the official national nonprofit of the NatlParkS,Performative Reputation,Procedural Repuation,No,no_agreement,2018-07-06 19:02:23 UTC,0
33TGB4G0LPHY1A2D7L1BWF2XPY3XTG,RT statedeptspox US welcomes decision by Maldives Supreme Court to order the release of political prisoners  reinstate elected member,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 18:02:55 UTC,3
3VZYA8PITOYOJILC3DU6KL98ZOX05Y,RT EDGreenRibbon Todays EDGreenRibbon honorees include 39 public schools  6 private schools 44% of honorees serve a majority disadvan,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:02:39 UTC,2
3ICOHX7ENCBOF1E5EEN9OFFLCHW0EZ,RT CDCgov Learn how BRCA genes impact your breast cancer risk httpstcofpM9o8Brxk httpstcoCGoYG72J8j,None of the above.,Technical Reputation,No,no_agreement,2018-07-06 18:08:51 UTC,2
3Y3CZJSZ9KTCJC5BXQDL4HAV8EX5R2,Starting soon the UN Security Council convenes to discuss the situation in the Middle East-Syria Watch todays httpstcoWbxMviDAMq,None of the above.,Procedural Repuation,No,no_agreement,2018-07-06 18:05:28 UTC,4
35A1YQPVFEGZQD2S73JCQP94LIE5IY,RT PNNLab Cyber tools for the PowerGrid PNNL to lead six new ENERGY -funded projects | httpstcoEYw85GToXy httpstcowkS2BOWl,None of the above.,Procedural Repuation,No,no_agreement,2018-07-06 18:04:46 UTC,4
3L55D8AUFAX6FYQCQVSNQJ923IYCYJ,RT VAVetBenefits In this weeks VAPodcast  Tim talks mental and emotional health as a VA priority  and how those themes resonate in USMC,Moral Reputation,Moral Reputation,Yes,Moral Reputation,2018-07-06 18:04:05 UTC,2
3M67TQBQQHO3LIL6Y54GL7QNU6SA9Q,Deputy Attorney General SallyQYates Remarks at the CivilRights Divisions Annual Awards Ceremony httpstcoXsGHzCJnAf,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 18:19:46 UTC,2
3GL25Y6843UUOFCTYO0ZA175VQ8MX5,RT USEmbassyFrance Sec Lew on EU and UK It is important that both sides demonstrate flexibility Brexit USTreasury Min Finances http,None of the above.,Procedural Repuation,No,no_agreement,2018-07-06 18:03:06 UTC,3
3XDSWAMB22SX6WZQZLBTDX6049HCQG,Journalism pioneer and leader Maureen Bunyan at HQ today celebrating BlackHistoryMonth httpstcovKgqSbKOs4,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:03:50 UTC,2
3VGET1QSZ0ZWEC0GKD2OP0W8RZ77WM,100DaysofDHS ICEgov returns a Pissarro masterpiece to France after it was stolen and thought lost for 30 years  httpstcoufKLo4QK94,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:02:48 UTC,1
341YLJU21IZ7RGJ5PKHESI6S18NI2A,Read StateDeptSpox Heather Nauerts statement on legislation in Poland regarding crimes committed during the Holoc httpstcoFd1ffNdXWQ,Moral Reputation,Performative Reputation,No,no_agreement,2018-07-06 18:19:53 UTC,4
3SR6AEG6W5TXW61SCN6O1A6IGA3HYX,RT SecretaryCarson Working with HabitatDC and volunteers from HUDgov to give a hand up to those in need by building housing for those i,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:04:31 UTC,2
31MCUE39BKMIG79T3WVGQGY4S9V3GE,Former Police Officer Sentenced for Attempting to Support ISIS httpstcoXwN4yYJqCx,Moral Reputation,Performative Reputation,No,no_agreement,2018-07-06 19:18:13 UTC,1
3X878VYTIEIU3QELUOSOLCA8WWHF7W,RT realDonaldTrump Will be signing the biggest ever Tax Cut and Reform Bill in 30 minutes in Oval Office Will also be signing a much nee,Performative Reputation,Performative Reputation,Yes,Performative Reputation,2018-07-06 18:12:09 UTC,1
3HRWUH63QU2R4EDJ4JW4VX5L7H85NE,RT NOAAFisheries To celebrate WomensHistoryMonth we are highlighting six women leading NOAA Fisheries efforts to develop  implement el,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:08:16 UTC,2
3P7QK0GJ3TLTM68FPO50SD9IXLP2ZR,Acting Secretary Duke met with security officials at ATT park today to discuss ways DHS will work with partners to httpstcoW1T70FoyHr,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:19:43 UTC,1
36FFXPMST9OL2SXQ60XQZJ8G204HOM,RT FHA PDAS JaysonBates Yes Even grandparents! OwnTheDream httpstco1tCyzePhsA,None of the above.,None of the above.,Yes,None of the above.,2018-07-06 18:08:10 UTC,2
3AC6MFV69KIX1WBX8987FHFKM47HZO,Make sure youre prepared for one of the busiest travel days of the year This TSA post has everything you need httpstcohSql8oGpAT,Performative Reputation,Technical Reputation,No,no_agreement,2018-07-06 19:02:33 UTC,2
3PN6H8C9R4QFO8YNAL9I739DLR7AD7,RT ORISEconnect ORISE is now accepting applications for the ENERGY 2018 Mickey Leland Energy Fellowship Program  a 10-week summer progra,None of the above.,None of the above.,Yes,None of the above.,2018-07-06 18:06:48 UTC,2
33Q5P9PUSPM6KO0HMHU64QI49C2CZA,Today  Secretary Tillerson is in Bariloche  Argentina where he will discuss scientific exchanges and conservation httpstco4zv1BG91PX,Moral Reputation,Technical Reputation,No,no_agreement,2018-07-06 18:10:23 UTC,0
3MJ9GGZYO36SLY07DWP1BKI9O0IA2Y,August is Back2School Month! Learning can happen anywhere  thats why Broadband access is a priority at USDA httpstcopCoZQ81iJk,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:20:06 UTC,2
3538U0YQ1FUC27DYSCPY8VYSRUVF3R,RT argonne Captured electrons excite nuclei to higher energy states ArmyResearchLab - httpstcoHyGkLcvcN3 httpstcof6RcIELc7E,None of the above.,None of the above.,Yes,None of the above.,2018-07-06 18:08:36 UTC,4
3VJ4PFXFJ3715A99WGZ7H3D17R2AUH,The new national strategy advances four vital interests - homeland defense  border security  trade policy and econo httpstcoFm2kmUvNcR,Performative Reputation,Procedural Repuation,No,no_agreement,2018-07-06 18:05:07 UTC,3
3SCKNODZ0XG6RIR2SCB1THJHYN37NV,RT CDCgov NEW! CDCs 2016 STDreport finds rates of chlamydia  gonorrhea  syphilis ALL increased for the third year httpstcoDYomXq,None of the above.,None of the above.,Yes,None of the above.,2018-07-06 18:06:01 UTC,2
3RWSQDNYL9M7IJTRC7Q094NPUK0FF0,BIG WINNERS These 33 NationalLab projects were recognized by RandDMagazine for their promising  innovative resea httpstco82RmgVRZZy,Performative Reputation,Technical Reputation,No,no_agreement,2018-07-06 18:05:18 UTC,4
3NOEP8XAU4209I96Q4SRR5100VIXPB,Former Secret Service Agent Sentenced in Scheme Related to Silk Road Investigation httpstcoFA9wiXGu6k,Moral Reputation,Performative Reputation,No,no_agreement,2018-07-06 18:18:44 UTC,1
3ZXV7Q5FJBO0F79HL50Z1Y2MX78FCP,RT WhiteHouse Watch POTUS explain the benefits of the CleanPowerPlan the biggest step weve ever taken to ActOnClimate httptcofr,Performative Reputation,Procedural Repuation,No,no_agreement,2018-07-06 18:16:18 UTC,1
3BO3NEOQM0HWWJE92ZATY0PQDWFAI9,RT USGS Current information on the M 79 earthquake 280km SE of Kodiak  AK httpstcoJzzWd0ID2k,Procedural Repuation,Technical Reputation,No,no_agreement,2018-07-06 18:10:38 UTC,4
3P520RYKCH64Z4XS1K8Q9SXFFD15U6,RT NOAA FEMA has a resource page for Irma information and safety tips Go to httpstcoE56ZWy86y9 httpstcoq5JO6nZKWc,Performative Reputation,Procedural Repuation,No,no_agreement,2018-07-06 18:19:06 UTC,4
389A2A304OI9I3URINHEYRFIR5J0C6,RT PDRevents The runner up for IAH2016 is the University of Maryland! httpstco2bkUeeYONp,None of the above.,Technical Reputation,No,no_agreement,2018-07-06 19:02:43 UTC,0
